Device label,Model,Serial number,Sku number,Manufacturer,NMC Firmware version,IP Address,Location,UPS Score,Score rating,UPS from YYYY-MM,Battery from YYYY-MM,Battery Temperature (avg 24h deg C),External Battery Sku number,Internal Battery Sku number,Output Load (avg 24h in %),Load (min 30 days in %),Load (average 30 days in %),Load (max 30 days in %),Recommendation,Projected health,Projected health at optimal temperature
GLCCD-AlsipPR-UPS-MDS-NVR,Smart-UPS 3000,AS2115167193,SMT3000RM2UNC,APC,v1.3.3.1,10.45.243.229,GLCCD Alsip,59.58,Average,2021-04,2021-04,20.158245614035124,,RBC43,19.800664286211088,16.2,20.213946063380757,22.7,,2026-07-30,2026-07-30
GLCCD-AlsipPR-UPS-SW2-QA,Smart-UPS 750,AS2110233474,SMT750RM2UNC,APC,v1.3.3.1,10.45.243.120,GLCCD Alsip,64.12,Average,2021-03,2021-03,23.431118881118998,,RBC123,42.988276913409365,41.6,42.722931367980955,43.5,,2026-07-16,2026-08-21
GLCCD-AlsipPR-UPS-SW3-LOFT,Smart-UPS 750,AS2102143528,SMT750RM2UNC,APC,v1.3.3.1,10.45.243.123,GLCCD Alsip,,,,,22.43820754716981,,RBC123,,,,,,2025-10-23,2025-11-01
GLCCD-AlsipPR-UPS-SW4-Shipping,Smart-UPS 750,AS2110233476,SMT750RM2UNC,APC,v1.3.3.1,10.45.243.143,GLCCD Alsip,53.81,Average,2021-03,2021-03,26.047038327526273,,RBC123,0.0,0.0,0.0,0.0,Lower the battery temperature to 25 degrees C,2025-07-13,2025-09-14
GLCCD-BayCity-UPS-SW1-MDF,Smart-UPS 3000,AS2237259021,SMT3000RM2UNC,APC,v2.0.0.6,10.45.146.228,GLCCD Bay City,,,,,22.9,,RBC43,,27.3,33.48188294265529,50.8,,2027-11-01,2027-11-01
GLCCD-Caledonia-IDF1-UPS4,Smart-UPS 750,AS2047141600,SMT750RM2UNC,APC,v1.1.0.16,10.58.10.57,GLCCD Caledonia,63.08,Average,2020-11,2020-11,19.33846153846164,,RBC123,76.64450027206314,74.1,76.43859702610224,78.6,,2026-02-06,2026-02-06
GLCCD-Caledonia-IDF2-UPS5,Smart-UPS 750,AS2047141597,SMT750RM2UNC,APC,v1.1.0.16,10.58.10.15,GLCCD Caledonia,64.46,Average,2020-11,2021-05,22.540209790209783,,RBC123,57.849752466638144,56.5,57.684682362597336,59.8,,2026-08-07,2026-08-07
GLCCD-Caledonia-IDF3-UPS6,Smart-UPS 750,AS2047141601,SMT750RM2UNC,APC,v1.1.0.16,10.58.10.16,GLCCD Caledonia,59.58,Average,2020-11,2020-11,24.32701754385977,,RBC123,86.60328874865141,84.5,86.45466163524681,89.0,,2026-02-07,2026-02-11
GLCCD-Caledonia-MDF-UPS3,Smart-UPS X 1500,AS2046234774,SMX1500RM2UNC,APC,v1.1.0.16,10.58.10.13,GLCCD Caledonia,34.88,Average,2020-11,2020-11,24.490559440559345,SMX48RMBP2U,APCRBC115,40.73260418718349,40.2,40.71766004295705,41.8,,2026-06-19,2026-06-19
GLCCD-Caledonia-UPS-MDF,SMART-UPS X1500,AS2237162112,SMX1500RM2UCNC,APC,v2.0.0.6,10.58.10.12,GLCCD Caledonia,82.17,Good,2022-09,2023-08,23.637543859649238,SMX48RMBP2U,APCRBC115,13.230083704322041,12.9,13.194999182677776,14.4,,2029-03-08,2029-03-08
GLCCD-Clarkesville-UPS,Smart-UPS 750,AS2123141730,SMT750RM2UNC,APC,v1.3.3.1,10.53.34.246,GLCCD Clarksville,25.46,Poor,2021-06,2021-06,35.91777003484324,,RBC123,36.30539653833224,32.5,36.16037234021863,38.3,Lower the battery temperature to 25 degrees C,,
GLCCD-Clarkesville-UPS,Smart-UPS 750,AS2135132060,SMT750RM2UNC,APC,v1.3.3.1,10.53.34.229,GLCCD Clarksville,44.46,Average,2021-09,2022-03,31.195804195804214,,RBC123,37.26145427564458,35.7,37.04936853640352,40.3,Lower the battery temperature to 25 degrees C,2025-05-17,2026-01-07
GLCCD-EAGAN-SW14-VP-Column,Smart-UPS 1500,WS1545180339,,APC,v5.1.7,10.47.114.99,RCCB Downey,,,,,18.199047619047647,,,,,,,,,
GLCCD-EAGAN-UPS-NVR,Smart-UPS 1000,3S2152X10266,SMT1000RM2UC,APC,,10.20.206.193,GLCCD Eagan,71.29,Good,2021-12,2022-03,24.65040000000003,,,,,,,Lower the battery temperature to 25 degrees C,2027-07-23,2027-07-26
GLCCD-EAGAN-UPS-SD2,Smart-UPS SRT    1500,AS2115192981,SRT1500RMXLA,APC,v1.3.3.1,10.28.206.8,GLCCD Eagan,54.37,Average,2021-04,2021-04,24.0,APCRBC155,APCRBC155,17.044776084462857,16.7,17.091312247940934,17.8,,2026-12-02,2026-12-02
GLCCD-EAGAN-UPS-SERV-S15,Smart-UPS X 3000,AS1908265339,SMX3000RMLV2UNC,APC,v7.1.2,10.20.207.98,GLCCD Eagan,17.09,Poor,2019-02,2019-02,30.627777777777887,APCRBC118,APCRBC117,6.984687727740699,6.1,6.8677755514894425,7.9,"Replace battery, Lower the battery temperature to 25 degrees C",,
GLCCD-EAGAN-UPS-SW10-Guard,Smart-UPS 750,AS2304230111,SMT750RM2UCNC,APC,v2.0.0.6,10.20.206.194,GLCCD Eagan,65.44,Average,2023-01,2023-04,30.450915750915787,,APCRBC123,13.0326766485846,12.7,12.982077487757586,13.6,Lower the battery temperature to 25 degrees C,2026-01-28,2026-09-06
GLCCD-EAGAN-UPS-SW11-MRC,Smart-UPS 2200,AS1648345196,SMT2200RM2UNC,APC,v7.1.2,10.20.207.96,GLCCD Eagan,,,,,19.3935361216731,,RBC43,,,,,,,
GLCCD-EAGAN-UPS-SW12,Smart-UPS 1500,AS1742340870,SMT1500RM2UNC,APC,v6.5.0,10.20.206.15,GLCCD Eagan,,,,,29.48444444444454,,APCRBC133,,,,,,,
GLCCD-EAGAN-UPS-SW16,Smart-UPS 750,AS1829144759,SMT750RM2UNC,APC,v6.6.4,10.20.206.20,GLCCD Eagan,,,,,21.391666666666666,,RBC123,,,,,,,
GLCCD-EAGAN-UPS-SW1A-IDF1,Smart-UPS 750,AS2304230109,SMT750RM2UCNC,APC,v2.0.0.6,10.27.206.58,GLCCD Eagan,67.77,Good,2023-01,2024-01,31.571272727272735,,APCRBC123,36.059551892268416,30.7,35.33287226408343,37.6,Lower the battery temperature to 25 degrees C,2026-03-30,2027-05-07
GLCCD-EAGAN-UPS-SW1B-IDF1,Smart-UPS 750,AS2304230117,SMT750RM2UCNC,APC,v2.0.0.6,10.27.206.146,GLCCD Eagan,56.05,Average,2023-01,2024-01,38.20072463768115,,APCRBC123,38.2188145586221,32.8,38.36921162534547,39.4,Lower the battery temperature to 25 degrees C,2025-07-30,2027-01-05
GLCCD-EAGAN-UPS-SW2,Smart-UPS 2200,AS2313152320,SMT2200RM2UNC,APC,v2.0.0.6,10.20.207.20,GLCCD Eagan,,,,,21.23965517241377,,RBC43,,26.7,28.204663838695943,29.2,,2027-10-17,2027-10-17
GLCCD-EAGAN-UPS-SW3-CO2Fill,Smart-UPS 750,AS2304230114,SMT750RM2UCNC,APC,v2.0.0.6,10.27.206.59,GLCCD Eagan,83.23,Good,2023-01,2024-02,27.073626373626347,,APCRBC123,24.095667405199105,23.6,24.072996976910567,24.3,Lower the battery temperature to 25 degrees C,2028-12-27,2029-06-18
GLCCD-EAGAN-UPS-SW4,Smart-UPS 750,AS1829144771,SMT750RM2UNC,APC,v7.1.2,10.20.206.16,GLCCD Eagan,11.07,Poor,2018-07,2018-11,35.43122676579928,,RBC123,56.81196658861355,48.1,56.82178890439725,57.9,"Replace battery, Lower the battery temperature to 25 degrees C",,
GLCCD-EAGAN-UPS-SW7-CashOffice,Smart-UPS 3000,AS2132164669,SMT3000RM2UNC,APC,v2.0.0.6,10.27.206.144,GLCCD Eagan,75.37,Good,2022-03,2024-02,21.66777777777781,,RBC43,22.096184248596717,21.4,22.009933180585275,22.8,,2028-01-28,2028-01-28
GLCCD-EAGAN-UPS-VP-Column,Smart-UPS 750,AS1829144754,SMT750RM2UNC,APC,v7.1.2,10.20.206.11,GLCCD Eagan,,,,,23.81166666666671,,RBC123,,,,,,,
GLCCD-Eagan-UPS-SD1,Smart-UPS SRT    1500,AS2115192983,SRT1500RMXLA,APC,v1.3.3.1,10.28.206.7,GLCCD Eagan,54.25,Average,2021-04,2021-04,23.071428571428573,APCRBC155,APCRBC155,16.59888277258603,16.2,16.67582247303356,17.5,,2025-11-29,2025-11-29
GLCCD-EauClaire-UPS,Smart-UPS 3000,AS2041362179,SMT3000RM2UNC,APC,v7.1.2,10.20.212.188,GLCCD Eau Claire,50.32,Average,2020-10,2020-10,21.235789473684292,,RBC43,9.799999999999978,9.1,9.799918843464548,9.8,,2026-04-09,2026-04-09
GLCCD-Elizabethtown-UPS,Smart-UPS 750,AS2123141732,SMT750RM2UNC,APC,v1.3.3.1,10.53.50.252,GLCCD Elizabethtown,60.77,Average,2021-06,2022-02,28.29825174825184,,RBC123,23.262864893691045,20.8,23.213969660808438,31.8,Lower the battery temperature to 25 degrees C,2027-02-13,2027-10-27
GLCCD-FLINT-UPS-IDFB-1stFlSales,Smart-UPS 2200,AS2103163318,SMT2200RM2UNC,APC,v1.3.3.1,10.44.163.229,GLCCD Flint,41.2,Average,2021-01,2021-01,21.175836431226767,,RBC43,21.817180770573863,21.4,21.795673054625258,22.7,,2026-10-09,2026-10-14
GLCCD-FLINT-UPS-Loft-WH-VP,Smart-UPS 750,AS2109142570,SMT750RM2UNC,APC,v1.3.3.1,10.44.163.230,GLCCD Flint,62.86,Average,2021-03,2021-03,24.552797202797326,,RBC123,27.582389288198456,26.6,27.398258231406864,27.9,,2026-10-31,2026-11-23
GLCCD-FLINT-UPS-MDF,Smart-UPS 3000,AS2110155191,SMT3000RM2UNC,APC,v1.3.3.1,10.44.163.228,GLCCD Flint,30.3,Poor,2021-03,2021-03,27.56153846153859,,RBC43,19.996879873379388,18.8,19.843200140988323,20.8,Lower the battery temperature to 25 degrees C,2025-01-02,2025-03-12
GLCCD-FLINT-UPS-SD1,Smart-UPS SRT    1500,AS2319293061,SRT1500RMXLA-NC,APC,v2.0.0.6,10.44.160.23,GLCCD Flint,57.79,Average,2023-05,2023-05,28.659649122807018,APCRBC155,APCRBC155,0.0,0.0,0.0,0.0,Lower the battery temperature to 25 degrees C,2026-10-06,2027-08-14
GLCCD-GrandRapids-UPS,SMART-UPS X1500,AS2237162102,SMX1500RM2UCNC,APC,v2.0.0.6,10.45.202.250,GLCCD Grand Rapids,72.94,Good,2022-09,2023-06,26.11893939393936,SMX48RMBP2U,APCRBC115,11.409138200104024,10.2,10.868155631343944,13.0,Lower the battery temperature to 25 degrees C,2028-10-15,2029-03-17
GLCCD-GrandRapids-UPS,SMART-UPS X1500,AS2237162103,SMX1500RM2UCNC,APC,v2.0.0.6,10.45.202.252,GLCCD Grand Rapids,69.54,Good,2022-09,2023-06,27.00736842105265,SMX48RMBP2U,APCRBC115,0.0,0.0,0.0,0.0,Lower the battery temperature to 25 degrees C,2028-06-29,2028-12-05
GLCCD-GrandRapids-UPS-MDF1,Smart-UPS 2200,AS2315261711,SMT2200RM2UNC,APC,v2.0.0.6,10.45.192.106,GLCCD Grand Rapids,60.45,Average,2023-04,2023-12,40.26898954703842,,RBC43,8.261805619957345,0.0,7.596903333011193,69.6,Lower the battery temperature to 25 degrees C,2028-08-07,2028-10-09
GLCCD-GrandRapids-UPS-MDF2,Smart-UPS 2200,AS2230152865,SMT2200RM2UNC,APC,v2.0.0.6,10.45.202.253,GLCCD Grand Rapids,59.67,Average,2022-07,2023-12,31.839024390243914,,RBC43,33.87004835960063,31.2,32.839440068259755,35.1,Lower the battery temperature to 25 degrees C,2029-02-04,2029-02-22
GLCCD-GrandRapids-UPS-SD1,Smart-UPS SRT    1500,AS2115192982,SRT1500RMXLA,APC,v1.3.3.1,10.45.192.23,GLCCD Grand Rapids,23.93,Poor,2021-04,2021-04,41.940350877192984,APCRBC155,APCRBC155,103.83100785977601,7.3,88.03860342337072,117.6,Lower the battery temperature to 25 degrees C,2025-08-15,2025-10-31
GLCCD-GrandRapids-UPS2,SMART-UPS X1500,AS2237162101,SMX1500RM2UCNC,APC,v2.0.0.6,10.45.194.135,GLCCD Grand Rapids,67.24,Good,2022-09,2022-12,26.811538461538426,SMX48RMBP2U,APCRBC115,8.748128825820798,0.0,7.79869766510916,13.9,Lower the battery temperature to 25 degrees C,2027-09-01,2028-03-24
GLCCD-HighlandPark-UPS,Smart-UPS 3000,AS2112261823,SMT3000RM2UNC,APC,v1.3.3.1,10.44.192.118,GLCCD Highland Park,30.28,Poor,2021-03,2021-03,28.475438596491355,,RBC43,6.993050242285132,6.0,6.984047695230335,7.1,Lower the battery temperature to 25 degrees C,2025-01-14,2025-04-19
GLCCD-HighlandPark-UPS-MDF,Smart-UPS 3000,AS2112162644,SMT3000RM2UNC,APC,v1.3.3.1,10.44.194.83,GLCCD Highland Park,,,,,29.23023255813954,,RBC43,,,,,,2025-04-04,2025-08-18
GLCCD-HighlandPark-UPS-SD1,Smart-UPS SRT    1500,AS2128290913,SRT1500RMXLA-NC,APC,v1.3.3.1,10.44.192.23,GLCCD Highland Park,35.22,Average,2021-07,2021-07,27.957894736842107,APCRBC155,APCRBC155,0.0,0.0,0.0,0.0,Lower the battery temperature to 25 degrees C,2025-01-31,2025-04-15
GLCCD-HighlandPark-UPS-SD2,Smart-UPS SRT    1500,AS2128290915,SRT1500RMXLA-NC,APC,v1.3.3.1,10.44.192.24,GLCCD Highland Park,29.42,Poor,2021-07,2021-07,29.385964912280702,APCRBC155,APCRBC155,54.02468729350939,51.4,53.13607926561832,57.9,Lower the battery temperature to 25 degrees C,2024-09-14,2024-10-30
GLCCD-Kincheloe-UPS,Smart-UPS SRT    1500,AS2132190732,SRT1500RMXLA-NC,APC,v1.3.3.1,10.45.114.228,GLCCD Kincheloe,51.08,Average,2021-08,2021-08,21.711267605633804,APCRBC155,APCRBC155,7.019450530342549,6.8,6.9624699940489405,7.2,,,
GLCCD-Lacrosse-UPS,Smart-UPS 2200,AS2313152321,SMT2200RM2UNC,APC,v2.0.0.6,10.20.214.183,GLCCD La Crosse,79.81,Good,2023-03,2023-03,20.255749128919785,,RBC43,12.905553493981486,12.3,12.93120886000123,13.0,,2028-10-23,2028-10-23
GLCCD-Lansing-UPS-SD1,Smart-UPS SRT    1500,AS2128290919,SRT1500RMXLA-NC,APC,v1.3.3.1,10.44.144.23,GLCCD Lansing,64.42,Average,2021-07,2021-07,20.971929824561403,APCRBC155,APCRBC155,0.0,0.0,0.0,0.0,,2026-01-14,2026-01-14
GLCCD-Lansing-UPS-SD2,Smart-UPS SRT    1500,AS2128290916,SRT1500RMXLA-NC,APC,v1.3.3.1,10.44.144.24,GLCCD Lansing,66.13,Good,2021-07,2021-07,21.757894736842104,APCRBC155,APCRBC155,56.14090545475626,54.5,56.11972441824248,57.9,,2027-02-25,2027-02-25
GLCCD-MARQUETTE-UPS,Smart-UPS 1500,AS2046233147,SMT1500RM2UNC,APC,v1.1.0.16,10.20.220.153,GLCCD Marquette,35.98,Average,2020-11,2020-11,28.021754385965043,,APCRBC133,20.099999999999962,20.1,20.10040437458592,20.8,Lower the battery temperature to 25 degrees C,,
GLCCD-MadisonWindsor-UPS-MDF,Smart-UPS 3000,AS2110155189,SMT3000RM2UNC,APC,v1.3.3.1,10.20.228.113,GLCCD Madison,48.93,Average,2021-03,2021-03,23.300000000000114,,RBC43,0.0,0.0,0.0,0.0,,2026-07-15,2026-12-02
GLCCD-MadisonWindsor-UPS-SD1,Smart-UPS SRT    1500,AS2235191879,SRT1500RMXLA-NC,APC,v2.0.0.6,10.28.228.23,GLCCD Madison,63.06,Average,2022-08,2022-08,24.992932862190813,APCRBC155,APCRBC155,52.68981018749348,51.1,53.211598726820995,55.9,,2026-12-19,2027-05-25
GLCCD-MadisonWindsor-UPS-SD2,Smart-UPS SRT    1500,AS2235191889,SRT1500RMXLA-NC,APC,v2.0.0.6,10.28.228.24,GLCCD Madison,69.13,Good,2022-08,2022-08,24.0,APCRBC155,APCRBC155,0.0,0.0,0.0,0.0,,2027-11-21,2028-04-23
GLCCD-Milwaukee-UPS-SW2-IDF2,Smart-UPS 750,AS2113162332,SMT750RM2UNC,APC,v1.3.3.1,10.20.218.122,GLCCD Milwaukee,79.98,Good,2021-04,2024-02,24.398606271777115,,RBC123,13.21179255134006,12.3,13.055722984915777,13.6,,2029-01-05,2029-01-05
GLCCD-Milwaukee-UPS-SW3-IDF3,Smart-UPS 750,AS2137140222,SMT750RM2UNC,APC,v1.3.3.1,10.20.218.168,GLCCD Milwaukee,42.45,Average,2021-09,2021-12,32.38521126760562,,RBC123,52.1086186308041,48.7,50.343323021869615,52.6,Lower the battery temperature to 25 degrees C,2025-05-15,2025-12-30
GLCCD-Milwaukee-UPS-SW4-IDF4,Smart-UPS 1500,AS2303165863,SMT1500RM2UCNC,APC,v2.0.0.6,10.20.218.175,GLCCD Milwaukee,59.81,Average,2023-01,2023-04,31.045454545454533,,APCRBC133,25.71396314379489,25.0,25.532050468042293,26.3,Lower the battery temperature to 25 degrees C,2026-07-08,2027-11-27
GLCCD-Milwaukee-UPS-SW5-135,Smart-UPS 750,AS2113230887,SMT750RM2UNC,APC,v1.3.3.1,10.20.218.169,GLCCD Milwaukee,55.9,Average,2021-04,2021-04,28.16584507042258,,RBC123,40.7793582503219,39.0,40.85333028021096,41.6,Lower the battery temperature to 25 degrees C,2026-09-12,2027-01-06
GLCCD-Milwaukee-UPS-SW6,Smart-UPS 750,AS1823330636,SMT750RM2UNC,APC,v7.1.2,10.20.219.223,GLCCD Milwaukee,38.93,Average,2018-06,2018-11,24.776491228070313,,RBC123,12.299999999999976,12.3,12.316650950322677,14.3,Replace battery,,
GLCCD-Milwaukee-UPS-SW8,Smart-UPS 3000,AS2115271525,SMT3000RM2UNC,APC,v1.3.3.1,10.20.218.228,GLCCD Milwaukee,68.14,Good,2021-04,2022-01,18.21508771929825,,RBC43,8.003443238731219,8.0,8.00038373593403,9.1,,2027-07-01,2027-07-01
GLCCD-Milwaukee-UPS-SW8-206,Smart-UPS 3000,AS2115271528,SMT3000RM2UNC,APC,v1.3.3.1,10.20.219.226,GLCCD Milwaukee,,,,,16.875984251968504,,RBC43,,,,,,2027-08-30,2027-08-30
GLCCD-Milwaukee-UPS-SW8-228,Smart-UPS 3000,AS2115271527,SMT3000RM2UNC,APC,v1.3.3.1,10.20.219.227,GLCCD Milwaukee,69.89,Good,2021-04,2022-01,17.29368421052632,,RBC43,5.26324877449559,5.2,5.2881120945665225,7.0,,2027-07-16,2027-07-16
GLCCD-Milwaukee-UPS-SW8-SD1-120,Smart-UPS SRT    1500,AS2034193757,SRT1500RMXLA-NC,APC,v7.1.2,10.20.218.13,GLCCD Milwaukee,55.64,Average,2020-08,2020-08,21.0,APCRBC155,APCRBC155,20.478626982100153,20.0,20.52140553040808,21.2,,2025-10-29,2025-10-29
GLCCD-Milwaukee-UPS-SW8-SD2-114,Smart-UPS SRT    1500,AS2032292977,SRT1500RMXLA-NC,APC,v7.1.2,10.20.218.14,GLCCD Milwaukee,48.0,Average,2020-08,2020-08,21.714788732394368,APCRBC155,APCRBC155,29.06245507871368,28.6,29.037368756045478,29.9,,2024-09-15,2024-09-15
GLCCD-Milwaukee-UPS-SW9,Smart-UPS 750,AS2304230113,SMT750RM2UCNC,APC,v2.0.0.6,10.20.218.144,GLCCD Milwaukee,76.53,Good,2023-01,2023-04,27.62447552447551,,APCRBC123,42.09992084094851,40.0,41.823066069891155,42.7,Lower the battery temperature to 25 degrees C,2027-11-09,2028-05-12
GLCCD-Milwaukee-UPS-SWx-IDF1,Smart-UPS 1500,AS2303165866,SMT1500RM2UCNC,APC,v2.0.0.6,10.20.218.115,GLCCD Milwaukee,76.01,Good,2023-01,2023-04,24.98321678321678,,APCRBC133,35.67388865061613,35.0,36.2184977596242,37.0,Lower the battery temperature to 25 degrees C,2028-01-04,2028-03-13
GLCCD-Niles-UPS-IDF.SW6,Smart-UPS 750,AS2322133636,SMT750RM2UCNC,APC,v2.0.0.6,10.44.2.196,GLCCD Niles,76.57,Good,2023-06,2023-09,27.880836236933767,,APCRBC123,42.852049156570715,42.1,42.59086323112522,43.1,Lower the battery temperature to 25 degrees C,2027-08-27,2028-05-27
GLCCD-Niles-UPS-MDF-Rack1-Top,Smart-UPS 3000,AS2115266389,SMT3000RM2UNC,APC,v1.3.3.1,10.44.3.240,GLCCD Niles,56.41,Average,2021-04,2021-04,20.58118466898961,,RBC43,17.428156228987465,16.2,17.267472176992037,18.2,,2026-08-23,2026-08-23
GLCCD-Niles-UPS-MDF-Rack4-Top,Smart-UPS 3000,AS2237258272,SMT3000RM2UNC,APC,v2.0.0.6,10.44.2.178,GLCCD Niles,71.53,Good,2022-09,2022-09,20.753310104529564,,RBC43,31.462524346132447,31.2,31.445789740716723,35.1,,2028-02-27,2028-02-27
GLCCD-Niles-UPS-MDF-Rack6,Smart-UPS 3000,AS2115266383,SMT3000RM2UNC,APC,v1.3.3.1,10.44.2.147,GLCCD Niles,60.91,Average,2021-04,2021-12,20.822727272727235,,RBC43,13.575347246376817,13.0,13.627716322668359,14.9,,2027-07-03,2027-07-03
GLCCD-Niles-UPS-MRC-2ndFl,Smart-UPS 3000,AS2242155591,SMT3000RM2UNC,APC,v2.0.0.6,10.44.2.124,GLCCD Niles,70.72,Good,2022-10,2022-10,21.57560975609761,,RBC43,11.513864416210694,11.0,11.373947702356306,12.3,,2028-02-08,2028-02-08
GLCCD-Niles-UPS-MRC-3rdFloor,Smart-UPS 750,AS1829144758,SMT750RM2UNC,APC,v7.1.2,10.44.2.186,GLCCD Niles,39.24,Average,2018-07,2020-04,26.498257839721294,,RBC123,72.30036637681164,70.2,72.57753966487395,78.0,Lower the battery temperature to 25 degrees C,2024-10-31,2024-11-20
GLCCD-Niles-UPS-SW10-Jarvis,Smart-UPS 1500,AS2307153176,SMT1500RM2UCNC,APC,v2.0.0.6,10.44.2.201,GLCCD Niles,67.02,Good,2023-02,2023-05,29.479020979020955,,APCRBC133,29.050926204993853,28.2,28.85938583183467,29.6,Lower the battery temperature to 25 degrees C,2027-04-09,2028-06-18
GLCCD-Niles-UPS-SW2-HQ2ndFl,Smart-UPS 1500,AS1819341994,SMT1500RM2UNC,APC,v7.1.2,10.44.3.231,GLCCD Niles,,,,,19.824999999999996,,APCRBC133,,,,,,,
GLCCD-Niles-UPS-SW3-ProdWarRoom,Smart-UPS 2200,AS2327261627,SMT2200RM2UNC,APC,v2.0.0.6,10.44.3.4,GLCCD Niles,76.85,Good,2023-07,2023-07,22.230069930069902,,RBC43,13.121562126885136,12.3,13.061099166662206,14.3,,2029-01-16,2029-01-16
